step,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,rl_x,rl_y,odom_error_m,ekf_error_m,rl_error_m
0,0.0,0.0,0.0,0.0,-0.0238,-0.0131,0.0,0.0,0.0,0.02717,0.0
1,0.1,0.0,0.1025,0.0,0.0721,-0.0186,0.0525,0.0,0.00248,0.03353,0.04749
2,0.2,0.002,0.2057,0.002,0.1765,-0.0161,0.1094,0.0008,0.00572,0.02965,0.09057
3,0.2999,0.006,0.3044,0.0063,0.288,-0.0024,0.1719,0.0025,0.00455,0.01457,0.12807
4,0.3997,0.012,0.4121,0.013,0.4056,0.0128,0.2409,0.0054,0.01245,0.00593,0.15891
5,0.4994,0.02,0.5094,0.0212,0.4996,0.0177,0.3163,0.0097,0.0101,0.0023,0.18335
6,0.5989,0.03,0.6066,0.0314,0.596,0.028,0.3978,0.0156,0.00781,0.00351,0.20164
7,0.6982,0.0419,0.707,0.0439,0.6836,0.0318,0.4847,0.0233,0.00905,0.01776,0.21426
8,0.7972,0.0559,0.7975,0.0567,0.7833,0.0458,0.5762,0.033,0.00083,0.01718,0.22218
9,0.8959,0.0718,0.8912,0.0717,0.8811,0.061,0.6717,0.0447,0.00469,0.01836,0.22589
10,0.9943,0.0897,0.9852,0.0888,0.9835,0.0814,0.7703,0.0588,0.00921,0.01365,0.2261
11,1.0923,0.1096,1.0904,0.1098,1.0778,0.0965,0.872,0.0752,0.00191,0.01955,0.22299
12,1.1899,0.1314,1.1884,0.1313,1.171,0.1156,0.9757,0.094,0.0015,0.02465,0.21746
13,1.287,0.1552,1.283,0.1538,1.272,0.1423,1.0808,0.1152,0.00423,0.01981,0.21011
14,1.3837,0.1809,1.3743,0.1775,1.3699,0.1678,1.1868,0.1389,0.01001,0.01901,0.20133
15,1.4798,0.2085,1.4676,0.2038,1.4721,0.1985,1.2933,0.1651,0.01305,0.01264,0.19143
16,1.5753,0.2381,1.5605,0.2319,1.5675,0.2288,1.4002,0.1938,0.0161,0.01214,0.1806
17,1.6702,0.2695,1.6554,0.2631,1.663,0.2632,1.5071,0.2249,0.01619,0.00963,0.1692
18,1.7645,0.3029,1.7537,0.2974,1.7563,0.2954,1.6137,0.2585,0.01214,0.01112,0.15723
19,1.8581,0.3381,1.8485,0.3323,1.8512,0.3336,1.7199,0.2944,0.01122,0.00825,0.14499
20,1.951,0.3752,1.9356,0.366,1.9466,0.3704,1.825,0.3326,0.01794,0.0065,0.13296
21,2.0431,0.4142,2.0315,0.4054,2.0374,0.4105,1.9293,0.3732,0.01453,0.00675,0.12089
22,2.1344,0.4549,2.1227,0.445,2.1289,0.4517,2.0326,0.4159,0.01535,0.00637,0.10903
23,2.2249,0.4975,2.2069,0.4835,2.223,0.4983,2.1343,0.4606,0.02277,0.00202,0.09782
24,2.3145,0.5419,2.295,0.5258,2.3139,0.5427,2.2346,0.5074,0.02528,0.00097,0.08702
25,2.4032,0.5881,2.3857,0.5719,2.4184,0.5798,2.3337,0.5562,0.02385,0.01734,0.07648
26,2.4909,0.636,2.4755,0.6194,2.4999,0.626,2.4311,0.607,0.02269,0.01346,0.06648
27,2.5777,0.6857,2.56,0.6662,2.5875,0.6762,2.5269,0.6595,0.02635,0.01366,0.05719
28,2.6635,0.7371,2.6509,0.7191,2.6712,0.7299,2.6212,0.7141,0.022,0.01058,0.04813
29,2.7482,0.7903,2.7326,0.7691,2.7577,0.7875,2.7136,0.7702,0.0263,0.00989,0.03999
30,2.8319,0.8451,2.8183,0.8238,2.8373,0.8403,2.8044,0.828,0.02524,0.00724,0.03231
31,2.9144,0.9015,2.8994,0.8781,2.9156,0.8997,2.8938,0.8878,0.02782,0.00219,0.02472
32,2.9958,0.9596,2.9769,0.9322,2.9995,0.957,2.9802,0.9483,0.03334,0.00456,0.01921
33,3.076,1.0193,3.0611,0.9932,3.0806,1.019,3.0657,1.0109,0.03004,0.00463,0.0133
34,3.155,1.0807,3.1404,1.0535,3.1586,1.08,3.1494,1.075,0.03077,0.00368,0.00795
35,3.2327,1.1435,3.2201,1.1169,3.236,1.1418,3.2313,1.1406,0.02945,0.0037,0.00327
36,3.3092,1.208,3.2986,1.1818,3.3142,1.2084,3.3115,1.2076,0.02825,0.005,0.00226
37,3.3844,1.2739,3.374,1.2472,3.3898,1.2777,3.3897,1.276,0.02869,0.0066,0.00571
38,3.4583,1.3413,3.4384,1.3056,3.4619,1.344,3.4659,1.3454,0.04092,0.00452,0.00867
39,3.5307,1.4102,3.5113,1.3746,3.5343,1.4122,3.5405,1.4163,0.04055,0.00408,0.01145
40,3.6018,1.4805,3.5828,1.4452,3.6055,1.4818,3.6134,1.4885,0.04017,0.00388,0.01406
41,3.6715,1.5523,3.6522,1.5157,3.6742,1.5522,3.6843,1.5617,0.04139,0.00271,0.01589
42,3.7397,1.6254,3.7258,1.5938,3.7435,1.6264,3.7537,1.6365,0.0345,0.00391,0.01785
43,3.8065,1.6999,3.7903,1.6649,3.8096,1.701,3.8214,1.7123,0.03853,0.00334,0.01942
44,3.8717,1.7756,3.8591,1.7436,3.8748,1.7759,3.8874,1.7895,0.0344,0.0031,0.02099
45,3.9354,1.8527,3.9217,1.8182,3.9381,1.8548,3.9516,1.8677,0.03712,0.00339,0.02203
46,3.9976,1.9311,3.9846,1.8966,3.9991,1.9329,4.0144,1.9474,0.03683,0.00239,0.02344
47,4.0582,2.0106,4.0433,1.9732,4.0597,2.0131,4.0745,2.0271,0.0403,0.00292,0.02323
48,4.1171,2.0914,4.1015,2.0521,4.1185,2.0947,4.1334,2.1086,0.04231,0.0036,0.02364
49,4.1745,2.1733,4.1603,2.1348,4.1754,2.1771,4.1905,2.191,0.04105,0.00392,0.02388
50,4.2302,2.2563,4.2165,2.2175,4.2313,2.2609,4.2459,2.2745,0.04119,0.00469,0.024
51,4.2842,2.3405,4.2673,2.2953,4.2848,2.3443,4.2995,2.3588,0.04824,0.00386,0.02385
52,4.3366,2.4257,4.3194,2.3786,4.3368,2.4297,4.3511,2.4439,0.05008,0.00401,0.02331
53,4.3872,2.5119,4.3705,2.4637,4.3874,2.516,4.4012,2.5301,0.05106,0.00407,0.02292
54,4.4361,2.5992,4.4248,2.5587,4.4367,2.6039,4.4496,2.6175,0.04203,0.00477,0.02275
55,4.4832,2.6874,4.4733,2.6476,4.4847,2.6906,4.4962,2.7057,0.04098,0.00356,0.02249
56,4.5286,2.7765,4.515,2.7278,4.531,2.7783,4.5409,2.7947,0.05053,0.00303,0.02201
57,4.5721,2.8665,4.5595,2.8177,4.574,2.8688,4.5836,2.8841,0.0504,0.00296,0.02104
58,4.6139,2.9574,4.6012,2.9075,4.6161,2.9595,4.6247,2.9746,0.05141,0.00307,0.02031
59,4.6538,3.049,4.6413,2.9989,4.6555,3.0514,4.6639,3.0659,0.05163,0.00289,0.01965
60,4.6919,3.1415,4.6821,3.0965,4.6927,3.1433,4.7013,3.1581,0.04609,0.00196,0.01912
61,4.7282,3.2347,4.7202,3.1932,4.7299,3.2356,4.737,3.2511,0.04226,0.00196,0.01859
62,4.7625,3.3286,4.7576,3.2935,4.7649,3.328,4.7708,3.3448,0.03548,0.00246,0.01817
63,4.795,3.4232,4.7918,3.3905,4.7975,3.4214,4.803,3.4401,0.0328,0.00308,0.01868
64,4.8256,3.5184,4.8213,3.4809,4.8272,3.516,4.8327,3.5338,0.03774,0.0029,0.01694
65,4.8543,3.6142,4.8506,3.577,4.8552,3.6097,4.8609,3.6295,0.03735,0.0046,0.01671
66,4.881,3.7106,4.8759,3.6658,4.8814,3.7054,4.8869,3.7246,0.04509,0.00518,0.01523
67,4.9058,3.8074,4.8999,3.7573,4.9064,3.8028,4.9111,3.8207,0.05044,0.00467,0.01424
68,4.9287,3.9048,4.9222,3.8501,4.9286,3.9004,4.9333,3.9171,0.05506,0.00438,0.01319
69,4.9496,4.0026,4.9425,3.944,4.9497,3.9974,4.9536,4.0138,0.05898,0.00517,0.01197
70,4.9686,4.1008,4.9626,4.0461,4.9697,4.0966,4.9721,4.1114,0.05495,0.0043,0.01118
71,4.9856,4.1993,4.9803,4.1457,4.9863,4.1971,4.9886,4.2091,0.05385,0.00231,0.01029
72,5.0006,4.2982,4.9944,4.2366,5.0014,4.2941,5.0032,4.3072,0.06189,0.00414,0.00935
73,5.0136,4.3973,5.0078,4.337,5.0143,4.3941,5.0158,4.4054,0.0606,0.00328,0.00836
74,5.0247,4.4967,5.0182,4.4302,5.0263,4.4932,5.0264,4.5043,0.06679,0.00384,0.00778
75,5.0338,4.5963,5.0279,4.5324,5.0356,4.594,5.0351,4.6025,0.06418,0.00293,0.00637
76,5.0408,4.696,5.0353,4.6334,5.0426,4.6924,5.0418,4.7018,0.06292,0.00404,0.00581
77,5.0459,4.7959,5.0404,4.7298,5.048,4.7928,5.0466,4.8009,0.06631,0.00374,0.00501
78,5.049,4.8959,5.0437,4.8312,5.0509,4.8919,5.0494,4.9001,0.06484,0.00439,0.0043
79,5.0501,4.9959,5.0452,4.9406,5.0512,4.9929,5.0503,4.9999,0.05551,0.00316,0.00403
80,5.0492,5.0958,5.0446,5.0346,5.0489,5.0916,5.0491,5.0994,0.06143,0.00426,0.00353
81,5.0462,5.1958,5.0419,5.1297,5.0461,5.1903,5.046,5.1987,0.06627,0.00551,0.00292
82,5.0413,5.2957,5.0366,5.2353,5.0411,5.2909,5.0409,5.2981,0.06053,0.00479,0.00248
83,5.0344,5.3954,5.0294,5.3399,5.0341,5.3899,5.0338,5.3976,0.05575,0.00555,0.00223
84,5.0255,5.495,5.0202,5.4436,5.0254,5.4896,5.0247,5.4971,0.05171,0.00545,0.00217
85,5.0146,5.5945,5.009,5.5418,5.0138,5.5871,5.0136,5.5965,0.05299,0.00739,0.00233
86,5.0017,5.6936,4.9965,5.6365,5.0016,5.6878,5.0006,5.6947,0.05737,0.00582,0.00157
87,4.9869,5.7925,4.9816,5.735,4.9878,5.7866,4.9857,5.7932,0.05776,0.00598,0.00137
88,4.97,5.8911,4.9644,5.8349,4.9708,5.886,4.9687,5.8914,0.05646,0.00514,0.00135
89,4.9512,5.9893,4.9453,5.9331,4.9528,5.9844,4.9498,5.9893,0.05648,0.00515,0.00141
90,4.9304,6.0871,4.9243,6.0295,4.9322,6.0834,4.9289,6.0868,0.05792,0.00411,0.00158
91,4.9077,6.1845,4.8997,6.1297,4.9086,6.1811,4.906,6.1838,0.0554,0.00351,0.00182
92,4.8831,6.2814,4.8755,6.2212,4.8837,6.2785,4.8813,6.2803,0.0607,0.00298,0.00212
93,4.8565,6.3778,4.8482,6.3162,4.8583,6.3742,4.8546,6.3761,0.06214,0.00405,0.00252
94,4.8279,6.4737,4.8178,6.414,4.8293,6.4715,4.8259,6.4716,0.06053,0.00255,0.00284
95,4.7975,6.5689,4.7876,6.5048,4.7983,6.5662,4.7954,6.5665,0.06482,0.00283,0.00321
96,4.7652,6.6635,4.7552,6.5971,4.7652,6.6599,4.7631,6.6606,0.0672,0.00364,0.00364
97,4.731,6.7575,4.7196,6.6917,4.7311,6.754,4.7288,6.7541,0.06679,0.00351,0.004
98,4.6949,6.8508,4.6825,6.7855,4.6952,6.8468,4.6926,6.8472,0.06648,0.00398,0.00426
99,4.6569,6.9433,4.6454,6.8736,4.6583,6.9386,4.6547,6.9392,0.07066,0.00489,0.00469
100,4.6171,7.035,4.6047,6.9652,4.6193,7.0302,4.6149,7.0306,0.07092,0.00529,0.00499
101,4.5755,7.126,4.5617,7.0575,4.5776,7.1231,4.5732,7.1213,0.06986,0.00353,0.0052
102,4.5321,7.216,4.5152,7.1521,4.5336,7.2143,4.5297,7.2112,0.06617,0.0023,0.00537
103,4.4869,7.3052,4.4722,7.2347,4.4898,7.3005,4.4845,7.3002,0.07205,0.00556,0.00561
104,4.4399,7.3935,4.4233,7.3248,4.4435,7.3876,4.4375,7.3882,0.07064,0.00692,0.00586
105,4.3911,7.4808,4.3725,7.4139,4.3936,7.4768,4.3886,7.4754,0.06944,0.00471,0.006
106,4.3407,7.5671,4.3191,7.5018,4.343,7.5623,4.3379,7.5617,0.06879,0.00538,0.00612
107,4.2885,7.6524,4.2627,7.5901,4.2904,7.647,4.2854,7.6471,0.06743,0.00577,0.00617
108,4.2346,7.7367,4.2079,7.6719,4.2361,7.7326,4.2314,7.7311,0.07,0.00435,0.00643
109,4.179,7.8198,4.1528,7.7507,4.181,7.8144,4.1757,7.814,0.07395,0.00577,0.00667
110,4.1218,7.9018,4.0952,7.8295,4.1231,7.8967,4.1183,7.8957,0.07706,0.00529,0.00697
111,4.0629,7.9827,4.0276,7.9182,4.0632,7.9794,4.0592,7.9766,0.07347,0.00328,0.00711
112,4.0025,8.0623,3.9636,7.9995,4.0027,8.0587,3.9985,8.0563,0.07387,0.00363,0.00725
113,3.9404,8.1408,3.9019,8.0752,3.941,8.1375,3.9362,8.1347,0.07605,0.0033,0.00738
114,3.8768,8.2179,3.8368,8.1515,3.8775,8.2148,3.8725,8.2118,0.07754,0.0032,0.00755
115,3.8117,8.2938,3.773,8.2237,3.8124,8.2906,3.8072,8.2875,0.08007,0.00329,0.00774
116,3.7451,8.3684,3.7076,8.2945,3.7463,8.3652,3.7406,8.3618,0.0828,0.00341,0.00796
117,3.677,8.4416,3.6382,8.3668,3.6784,8.4397,3.6725,8.4348,0.08428,0.00238,0.00816
118,3.6074,8.5135,3.5599,8.4452,3.6081,8.512,3.6027,8.5067,0.08317,0.00161,0.00828
119,3.5364,8.5839,3.4951,8.5074,3.5377,8.5819,3.5317,8.5769,0.08693,0.00236,0.00848
120,3.4641,8.6529,3.424,8.573,3.4663,8.6497,3.4594,8.6455,0.08942,0.0039,0.00872
121,3.3903,8.7205,3.352,8.6365,3.3917,8.717,3.3858,8.7127,0.09229,0.00371,0.00897
122,3.3153,8.7865,3.2738,8.7028,3.3159,8.7842,3.3107,8.7785,0.09341,0.0024,0.0092
123,3.2389,8.8511,3.2008,8.762,3.24,8.848,3.2345,8.8427,0.09683,0.00325,0.00946
124,3.1612,8.9141,3.1238,8.822,3.1624,8.9108,3.1569,8.9053,0.09933,0.00346,0.00973
125,3.0823,8.9755,3.0368,8.8873,3.0847,8.9717,3.0779,8.9666,0.09924,0.00448,0.00993
126,3.0022,9.0353,2.9606,8.942,3.0053,9.0309,2.9978,9.0262,0.10219,0.00541,0.01016
127,2.9209,9.0936,2.8694,9.0045,2.923,9.0909,2.9162,9.0844,0.10288,0.0034,0.01033
128,2.8385,9.1502,2.7921,9.0551,2.8416,9.1468,2.8337,9.1408,0.10583,0.0046,0.01055
129,2.7549,9.2051,2.702,9.1115,2.7571,9.2026,2.7499,9.1956,0.10753,0.00333,0.01075
130,2.6703,9.2584,2.6143,9.1642,2.6724,9.2566,2.665,9.2488,0.10954,0.00277,0.01095
131,2.5846,9.3099,2.5316,9.2115,2.5875,9.3072,2.5792,9.3001,0.11175,0.00399,0.01117
132,2.4979,9.3597,2.458,9.2517,2.5014,9.3552,2.4929,9.3494,0.11517,0.00574,0.01141
133,2.4102,9.4078,2.3705,9.2974,2.4137,9.4032,2.4056,9.3971,0.1173,0.0058,0.01165
134,2.3216,9.4541,2.2738,9.3459,2.3231,9.4505,2.3169,9.4433,0.11834,0.00395,0.01183
135,2.232,9.4987,2.1856,9.3882,2.233,9.4957,2.2274,9.4876,0.11987,0.00313,0.012
136,2.1416,9.5414,2.088,9.4325,2.1419,9.5386,2.1368,9.5303,0.12134,0.00283,0.01214
137,2.0504,9.5823,1.991,9.4747,2.0507,9.581,2.0452,9.5712,0.12294,0.00137,0.01227
138,1.9583,9.6214,1.903,9.5108,1.9584,9.619,1.953,9.6102,0.12366,0.00242,0.01239
139,1.8655,9.6587,1.8088,9.5472,1.8643,9.656,1.8601,9.6474,0.12503,0.00293,0.0125
140,1.772,9.694,1.7145,9.5816,1.7725,9.6916,1.7665,9.6827,0.12622,0.00249,0.01261
141,1.6778,9.7275,1.6194,9.6143,1.6774,9.7251,1.6721,9.7161,0.12737,0.00247,0.01273
142,1.5829,9.7591,1.5166,9.6472,1.5815,9.7578,1.5769,9.7477,0.13011,0.00194,0.01288
143,1.4874,9.7888,1.4106,9.679,1.4839,9.7881,1.4808,9.7775,0.13399,0.00359,0.01308
144,1.3914,9.8166,1.3152,9.7061,1.3878,9.8165,1.3842,9.8054,0.13429,0.00356,0.01328
145,1.2948,9.8425,1.217,9.7316,1.2903,9.8414,1.2874,9.8313,0.13543,0.00459,0.01342
146,1.1977,9.8664,1.1208,9.7547,1.1934,9.8652,1.1901,9.8552,0.13558,0.00443,0.0135
147,1.1001,9.8884,1.026,9.7756,1.0967,9.8876,1.0926,9.8772,0.13494,0.0035,0.01354
148,1.0021,9.9084,0.9262,9.7954,0.9977,9.9079,0.9945,9.8971,0.13621,0.00446,0.01364
149,0.9038,9.9265,0.8233,9.8137,0.8982,9.9265,0.8959,9.9152,0.13854,0.00557,0.01376
150,0.8051,9.9426,0.7205,9.8299,0.8001,9.943,0.7969,9.9313,0.1409,0.00499,0.01396
151,0.7061,9.9567,0.6255,9.8428,0.7016,9.9583,0.6978,9.9454,0.13954,0.00476,0.01402
152,0.6068,9.9688,0.5225,9.8547,0.6002,9.9706,0.5985,9.9574,0.14187,0.00685,0.01412
153,0.5073,9.979,0.423,9.8642,0.4998,9.9815,0.4988,9.9675,0.14242,0.00795,0.01427
154,0.4077,9.9871,0.3169,9.8721,0.4002,9.9895,0.3988,9.9756,0.14651,0.00784,0.01447
155,0.3079,9.9933,0.2143,9.8778,0.3006,9.9954,0.2987,9.9818,0.14859,0.00756,0.01469
156,0.2079,9.9974,0.1155,9.8813,0.2008,9.9991,0.1987,9.9858,0.14839,0.00733,0.0148
157,0.108,9.9996,0.0114,9.8828,0.1,10.0027,0.0985,9.9879,0.15156,0.00855,0.01501
158,0.008,9.9997,-0.0951,9.8819,-0.0005,10.0018,-0.0019,9.988,0.15655,0.00871,0.01534
159,-0.092,9.9979,-0.1985,9.8791,-0.1006,10.0009,-0.1024,9.9861,0.15958,0.00909,0.01572
160,-0.1919,9.9941,-0.3,9.8742,-0.2006,9.9969,-0.2025,9.9822,0.16135,0.00911,0.01593
161,-0.2918,9.9882,-0.4003,9.8675,-0.3004,9.9903,-0.3026,9.9762,0.1623,0.00887,0.01618
162,-0.3915,9.9804,-0.4958,9.8591,-0.3998,9.9823,-0.4023,9.9683,0.16002,0.00855,0.01628
163,-0.491,9.9706,-0.5902,9.8484,-0.4982,9.9717,-0.5017,9.9583,0.15736,0.0073,0.01628
164,-0.5903,9.9588,-0.6951,9.8347,-0.5981,9.9603,-0.6011,9.9464,0.16239,0.00797,0.01642
165,-0.6893,9.945,-0.797,9.8191,-0.6977,9.9478,-0.7002,9.9324,0.16562,0.00884,0.01655
166,-0.7881,9.9292,-0.8955,9.8019,-0.7969,9.9321,-0.799,9.9165,0.1665,0.00929,0.01672
167,-0.8865,9.9114,-0.994,9.7829,-0.8939,9.913,-0.8975,9.8986,0.16759,0.00757,0.01688
