step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
0,-0.0238,-0.0131,0.48,0.048402,,,obs_L0,0,3.643,33.16,0.1,0.048402
1,0.0765,-0.0122,1.62,0.048403,0.069083,0.009254,predict,,,,,
1,0.0721,-0.0186,1.01,0.040112,,,obs_L0,0,3.566,34.22,0.048403,0.040112
2,0.1724,-0.0169,2.17,0.040088,0.06138,0.008139,predict,,,,,
2,0.1765,-0.0161,1.86,0.036688,,,obs_L0,0,3.46,34.29,0.040088,0.036688
3,0.2764,-0.0129,3.01,0.036621,0.055987,0.007754,predict,,,,,
3,0.288,-0.0024,3.29,0.034767,,,obs_L0,0,3.318,32.29,0.036621,0.034767
4,0.3887,0.0034,4.45,0.034629,0.051385,0.007564,predict,,,,,
4,0.4056,0.0128,4.34,0.033441,,,obs_L0,0,3.184,33.67,0.034629,0.033441
5,0.5051,0.0204,5.49,0.033254,0.047263,0.007463,predict,,,,,
5,0.4996,0.0177,5.53,0.032426,,,obs_L0,0,3.222,32.61,0.033254,0.032426
6,0.5989,0.0274,6.67,0.032181,0.043416,0.007409,predict,,,,,
6,0.596,0.028,6.78,0.031573,,,obs_L0,0,3.12,31.85,0.032181,0.031573
7,0.6954,0.0398,7.9,0.031267,0.039822,0.007367,predict,,,,,
7,0.6836,0.0318,7.88,0.030794,,,obs_L0,0,3.144,32.44,0.031267,0.030794
8,0.7818,0.0454,9.02,0.030441,0.036479,0.007335,predict,,,,,
8,0.7833,0.0458,8.99,0.03007,,,obs_L0,0,2.943,32.68,0.030441,0.03007
9,0.8816,0.0614,10.14,0.029666,0.033329,0.007303,predict,,,,,
9,0.8811,0.061,10.14,0.029364,,,obs_L0,0,2.878,32.32,0.029666,0.029364
10,0.979,0.0786,11.27,0.028909,0.03035,0.007279,predict,,,,,
10,0.9835,0.0814,11.27,0.028655,,,obs_L0,0,2.73,32.42,0.028909,0.028655
11,1.0823,0.1011,12.41,0.028146,0.027508,0.007259,predict,,,,,
11,1.0778,0.0965,12.35,0.027928,,,obs_L0,0,2.78,32.91,0.028146,0.027928
12,1.1755,0.1179,13.48,0.027378,0.024843,0.007246,predict,,,,,
12,1.171,0.1156,13.51,0.027194,,,obs_L0,0,2.681,31.87,0.027378,0.027194
13,1.268,0.1389,14.65,0.0266,0.022349,0.007232,predict,,,,,
13,1.272,0.1423,14.69,0.026439,,,obs_L0,0,2.468,32.15,0.0266,0.026439
14,1.3682,0.1675,15.84,0.025803,0.02002,0.007218,predict,,,,,
14,1.3699,0.1678,15.81,0.025656,,,obs_L0,0,2.436,32.96,0.025803,0.025656
15,1.4658,0.195,16.96,0.024978,0.017832,0.007208,predict,,,,,
15,1.4721,0.1985,16.94,0.024846,,,obs_L0,0,2.265,33.37,0.024978,0.024846
16,1.5675,0.2275,18.1,0.02413,0.015791,0.007201,predict,,,,,
16,1.5675,0.2288,18.13,0.024005,,,obs_L0,0,2.258,32.46,0.02413,0.024005
17,1.6626,0.2599,19.27,0.023249,0.013886,0.007197,predict,,,,,
17,1.663,0.2632,19.34,0.023131,,,obs_L0,0,2.132,32.03,0.023249,0.023131
18,1.7578,0.2965,20.47,0.022337,0.01212,0.007194,predict,,,,,
18,1.7563,0.2954,20.46,0.022222,,,obs_L0,0,2.14,33.36,0.022337,0.022222
19,1.8501,0.3304,21.59,0.021401,0.010502,0.007192,predict,,,,,
19,1.8512,0.3336,21.64,0.021295,,,obs_L0,0,1.952,32.99,0.021401,0.021295
20,1.9435,0.3703,22.79,0.020453,0.009035,0.007191,predict,,,,,
20,1.9466,0.3704,22.76,0.020346,,,obs_L0,0,1.917,35.19,0.020453,0.020346
21,2.0392,0.4093,23.91,0.019473,0.007689,0.00719,predict,,,,,
21,2.0374,0.4105,23.95,0.01937,,,obs_L0,0,1.839,33.97,0.019473,0.01937
22,2.1288,0.4511,25.09,0.018479,0.006482,0.007191,predict,,,,,
22,2.1289,0.4517,25.1,0.018379,,,obs_L0,0,1.759,35.37,0.018479,0.018379
23,2.2188,0.4938,26.24,0.017477,0.005413,0.007192,predict,,,,,
